ts,a,b,cuota_a,cuota_b
2026-07-31T11:09:28,aleksandar rakic,marcin tybura,1.27,3.65
2026-07-31T11:09:28,alexander poppeck,jovan leka,3.0,1.38
2026-07-31T11:09:28,bogdan grad,dennis buzukja,1.42,2.8
2026-07-31T11:09:28,borislav nikolic,mark vologdin,1.5,2.52
2026-07-31T11:09:28,daniel rodriguez,uros medic,4.05,1.23
2026-07-31T11:09:28,dusko todorovic,robert valentin,2.27,1.62
2026-07-31T11:09:28,gilbert urbina,vlasto cepo,3.75,1.26
2026-07-31T11:09:28,gillian robertson,mackenzie dern,2.65,1.47
2026-07-31T11:09:28,hailey cowan,nina milosevic,4.75,1.18
2026-07-31T11:09:28,ian garry,islam makhachev,3.45,1.3
2026-07-31T11:09:28,jan blachowicz,navajo stirling,3.45,1.3
2026-07-31T11:09:28,kyle prepolec,mateusz rebecki,5.8,1.13
2026-07-31T11:09:28,ludovit klein,tofiq musayev,1.32,3.3
2026-07-31T11:09:28,marina spasic,stephanie bruna luciano,3.5,1.29
2026-07-31T11:09:28,michael oliveira,oban elliott,1.26,3.7
2026-07-31T11:09:28,milos janicic,noah gugnon,1.98,1.8
2026-07-31T11:23:58,aleksandar rakic,marcin tybura,1.27,3.65
2026-07-31T11:23:58,alexander poppeck,jovan leka,3.0,1.38
2026-07-31T11:23:58,bogdan grad,dennis buzukja,1.42,2.8
2026-07-31T11:23:58,borislav nikolic,mark vologdin,1.5,2.52
2026-07-31T11:23:58,daniel rodriguez,uros medic,4.05,1.23
2026-07-31T11:23:58,dusko todorovic,robert valentin,2.27,1.62
2026-07-31T11:23:58,gilbert urbina,vlasto cepo,3.75,1.26
2026-07-31T11:23:58,gillian robertson,mackenzie dern,2.65,1.47
2026-07-31T11:23:58,hailey cowan,nina milosevic,4.75,1.18
2026-07-31T11:23:58,ian garry,islam makhachev,3.45,1.3
2026-07-31T11:23:58,jan blachowicz,navajo stirling,3.45,1.3
2026-07-31T11:23:58,kyle prepolec,mateusz rebecki,5.8,1.13
2026-07-31T11:23:58,ludovit klein,tofiq musayev,1.32,3.3
2026-07-31T11:23:58,marina spasic,stephanie bruna luciano,3.5,1.29
2026-07-31T11:23:58,michael oliveira,oban elliott,1.26,3.7
2026-07-31T11:23:58,milos janicic,noah gugnon,1.98,1.8
2026-07-31T20:05:17,aleksandar rakic,marcin tybura,1.27,3.65
2026-07-31T20:05:17,alexander poppeck,jovan leka,3.0,1.38
2026-07-31T20:05:17,alexia thainara,amanda lemos,1.42,2.82
2026-07-31T20:05:17,billy goff,ty cole miller,3.15,1.34
2026-07-31T20:05:17,billy quarantillo,diego ferreira,2.32,1.6
2026-07-31T20:05:17,bogdan grad,dennis buzukja,1.42,2.8
2026-07-31T20:05:17,borislav nikolic,mark vologdin,1.45,2.7
2026-07-31T20:05:17,bruno lopes,diyar nurgozhay,2.3,1.6
2026-07-31T20:05:17,daniel rodriguez,uros medic,3.85,1.25
2026-07-31T20:05:17,darren elkins,yadier delvalle,5.4,1.14
2026-07-31T20:05:17,dusko todorovic,robert valentin,2.32,1.6
