visto,evento,a,b,fecha_evento
2026-07-31,UFC Fight Night: Medić vs. Rodriguez,Daniel Rodriguez,Uroš Medić,2026-08-01
2026-07-31,UFC Fight Night: Medić vs. Rodriguez,Jan Blachowicz,Navajo Stirling,2026-08-01
2026-07-31,UFC Fight Night: Medić vs. Rodriguez,Marcin Tybura,Aleksandar Rakic,2026-08-01
2026-07-31,UFC Fight Night: Medić vs. Rodriguez,Duško Todorović,Robert Valentin,2026-08-01
2026-07-31,UFC Fight Night: Medić vs. Rodriguez,Gilbert Urbina,Vlasto Čepo,2026-08-01
2026-07-31,UFC Fight Night: Medić vs. Rodriguez,Milos Janicic,Noah Gugnon,2026-08-01
2026-07-31,UFC Fight Night: Medić vs. Rodriguez,Ludovit Klein,Tofiq Musayev,2026-08-01
2026-07-31,UFC Fight Night: Medić vs. Rodriguez,Oban Elliott,Michael Oliveira,2026-08-01
2026-07-31,UFC Fight Night: Medić vs. Rodriguez,Borislav Nikolic,Mark Vologdin,2026-08-01
2026-07-31,UFC Fight Night: Medić vs. Rodriguez,Dennis Buzukja,Bogdan Grad,2026-08-01
2026-07-31,UFC Fight Night: Medić vs. Rodriguez,Kyle Prepolec,Mateusz Rębecki,2026-08-01
2026-07-31,UFC Fight Night: Medić vs. Rodriguez,Hailey Cowan,Nina Milošević,2026-08-01
2026-07-31,UFC Fight Night: Medić vs. Rodriguez,Alexander Poppeck,Jovan Leka,2026-08-01
2026-07-31,UFC Fight Night: Medić vs. Rodriguez,Stephanie Luciano,Marina Spasić,2026-08-01
2026-07-31,UFC Fight Night: Gamrot vs Salkilld,Mateusz Gamrot,Quillan Salkilld,2026-08-08
2026-07-31,UFC Fight Night: Gamrot vs Salkilld,Billy Ray Goff,Ty Miller,2026-08-08
2026-07-31,UFC Fight Night: Gamrot vs Salkilld,Bruno Lopes,Diyar Nurgozhay,2026-08-08
2026-07-31,UFC Fight Night: Gamrot vs Salkilld,Diego Ferreira,Billy Quarantillo,2026-08-08
2026-07-31,UFC Fight Night: Gamrot vs Salkilld,Henrique da Silva Lopes,Louie Sutherland,2026-08-08
2026-07-31,UFC Fight Night: Gamrot vs Salkilld,Darren Elkins,Yadier del Valle,2026-08-08
2026-07-31,UFC Fight Night: Gamrot vs Salkilld,Steven Asplund,Guilherme Pat,2026-08-08
2026-07-31,UFC Fight Night: Gamrot vs Salkilld,Juliana Miller,Ravena Oliveira,2026-08-08
2026-07-31,UFC Fight Night: Gamrot vs Salkilld,Amanda Lemos,Alexia Thainara,2026-08-08
2026-07-31,UFC 330: Makhachev vs. Machado Garry,Islam Makhachev,Ian Machado Garry,2026-08-15
2026-07-31,UFC 330: Makhachev vs. Machado Garry,Mackenzie Dern,Gillian Robertson,2026-08-15
