ts_utc,run_day,evento,fecha_evento,inicio_utc,a,b,peso,modelo_ia,prompt_v,huella,veredicto,pick,p_a_ia,confianza,metodo_probable,lado,cuota_tomada,casa,ev_ia,cumple_regla,p_a_modelo,p_a_con_odds,p_a_mercado,cuota_a,cuota_b,n_razones,n_factores,prompt_tokens,output_tokens
2026-08-08T02:23:31.332093+00:00,2026-08-07,UFC Fight Night: Gamrot vs Salkilld,2026-08-08,2026-08-08T21:00Z,Juliana Miller,Ravena Oliveira,W Flyweight,gemini-3.5-flash,,0a85ac707a9cd702,,a,0.72,media,dec,,1.36,Betfair,-0.0207999999999999,False,0.5103059477972649,0.7171390528822825,0.7542293071721085,1.29,3.55,3,1,2473,555
2026-08-08T02:23:40.165033+00:00,2026-08-07,UFC Fight Night: Gamrot vs Salkilld,2026-08-08,2026-08-08T21:00Z,Gigi Canuto,Carol Foro,W Strawweight,gemini-3.5-flash,,3560ebc9f6f2dc49,,b,0.4,baja,dec,,,,,False,,,,,,2,1,2572,432
2026-08-08T02:24:11.684722+00:00,2026-08-07,UFC Fight Night: Gamrot vs Salkilld,2026-08-08,2026-08-08T21:00Z,Bruno Lopes,Diyar Nurgozhay,Light Heavyweight,gemini-3.5-flash,,bedeba128a423dd7,,b,0.4,media,dec,b,1.67,BetOnline.ag,0.002,False,0.4118912467900998,0.3757466692716862,0.4020247789631946,2.3,1.6,3,2,2478,695
2026-08-08T02:24:15.435636+00:00,2026-08-07,UFC Fight Night: Gamrot vs Salkilld,2026-08-08,2026-08-08T21:00Z,Miles Johns,Gianni Vazquez,Featherweight,gemini-3.5-flash,,6bc097bb1834d491,,a,0.63,media,dec,a,1.63,Coolbet,0.0268999999999999,True,0.675854548439576,0.6991928142265846,0.6106948248526733,1.57,2.37,3,1,2303,361
2026-08-08T03:14:39.598367+00:00,2026-08-07,UFC Fight Night: Gamrot vs Salkilld,2026-08-08,2026-08-08T21:00Z,Mateusz Gamrot,Quillan Salkilld,Lightweight,gemini-3.5-flash,v2,371f79fa9511cc3f,parejo,b,0.43,media,ko,,,,,False,0.3946439859592286,0.4112622139714313,0.4492463240871936,2.07,1.72,4,2,2453,637
2026-08-08T03:14:40.203010+00:00,2026-08-07,UFC Fight Night: Gamrot vs Salkilld,2026-08-08,2026-08-08T21:00Z,Amanda Lemos,Alexia Thainara,W Strawweight,gemini-3.5-flash,v2,327c5d5ed4a227d9,parejo,b,0.4,media,dec,,,,,False,0.3299340814427459,0.2732354506769918,0.2929280377079145,3.05,1.37,3,2,2351,650
2026-08-08T03:14:41.635861+00:00,2026-08-07,UFC Fight Night: Gamrot vs Salkilld,2026-08-08,2026-08-08T21:00Z,Darren Elkins,Yadier del Valle,Featherweight,gemini-3.5-flash,v2,3467c6715a37925c,definido,b,0.35,media,dec,b,1.15,Betfair,-0.2525,False,0.3575959883430617,0.1552392995535831,0.124539730468291,5.9,1.12,3,2,6083,616
2026-08-08T03:14:42.451064+00:00,2026-08-07,UFC Fight Night: Gamrot vs Salkilld,2026-08-08,2026-08-08T21:00Z,Diego Ferreira,Billy Quarantillo,Lightweight,gemini-3.5-flash,v2,848a68c330525e2d,parejo,a,0.53,baja,dec,,,,,False,0.586009493346198,0.6448058648759346,0.6327269998926327,1.52,2.5,2,3,3421,587
2026-08-08T03:14:49.007937+00:00,2026-08-07,UFC Fight Night: Gamrot vs Salkilld,2026-08-08,2026-08-08T21:00Z,Steven Asplund,Guilherme Pat,Heavyweight,gemini-3.5-flash,v2,d3bcfc8c2fdfba6a,definido,a,0.64,media,dec,a,1.37,Matchbook,-0.1231999999999998,False,0.5249156860500122,0.6405585437413417,0.7345839874210186,1.32,3.3,3,2,2677,592
2026-08-08T03:14:49.874376+00:00,2026-08-07,UFC Fight Night: Gamrot vs Salkilld,2026-08-08,2026-08-08T21:00Z,Billy Ray Goff,Ty Miller,Welterweight,gemini-3.5-flash,v2,e8b8910b7bbb9c2b,definido,b,0.3,media,ko,b,1.28,Coolbet,-0.104,False,0.3947088884965345,,0.2111078647613512,,,4,2,2136,628
2026-08-08T03:16:09.186072+00:00,2026-08-07,UFC Fight Night: Gamrot vs Salkilld,2026-08-08,2026-08-08T21:00Z,Manoel Sousa,Richie Miranda,Lightweight,gemini-3.5-flash,v2,b161710c797a7677,parejo,a,0.58,baja,ko,,,,,False,,,0.7379757362427404,1.31,3.4,3,1,1934,321
2026-08-08T03:16:13.179447+00:00,2026-08-07,UFC Fight Night: Gamrot vs Salkilld,2026-08-08,2026-08-08T21:00Z,Louie Sutherland,José Montanha,Heavyweight,gemini-3.5-flash,v2,2e614d5c2ee25550,parejo,a,0.52,baja,dec,,,,,False,,,0.355414452460143,1.47,2.65,3,2,2013,420
2026-08-09T15:57:19.127692+00:00,2026-08-09,UFC 330: Makhachev vs. Machado Garry,2026-08-15,2026-08-15T21:00Z,Islam Makhachev,Ian Machado Garry,Welterweight,gemini-3.5-flash,v2,cc1d3a02aa9a43d1,definido,a,0.72,alta,sub,a,1.32,Betfair,-0.0495999999999999,False,0.7036178565597875,0.7994022645255092,0.758292055917521,1.28,3.55,3,3,2383,745
2026-08-09T15:57:19.545575+00:00,2026-08-09,UFC 330: Makhachev vs. Machado Garry,2026-08-15,2026-08-15T21:00Z,Charles Johnson,Jose Ochoa,Flyweight,gemini-3.5-flash,v2,147388141cdf8f6a,parejo,b,0.44,media,dec,,,,,False,0.3386168213620739,,0.2266221683727008,,,3,2,2298,588
