evento,a,b,ganador
UFC Fight Night: Medić vs. Rodriguez,Daniel Rodriguez,Uroš Medić,b
UFC Fight Night: Medić vs. Rodriguez,Jan Blachowicz,Navajo Stirling,b
UFC Fight Night: Medić vs. Rodriguez,Marcin Tybura,Aleksandar Rakic,b
UFC Fight Night: Medić vs. Rodriguez,Duško Todorović,Robert Valentin,b
UFC Fight Night: Medić vs. Rodriguez,Gilbert Urbina,Vlasto Čepo,a
UFC Fight Night: Medić vs. Rodriguez,Milos Janicic,Noah Gugnon,b
UFC Fight Night: Medić vs. Rodriguez,Ludovit Klein,Tofiq Musayev,b
UFC Fight Night: Medić vs. Rodriguez,Oban Elliott,Michael Oliveira,b
UFC Fight Night: Medić vs. Rodriguez,Borislav Nikolic,Mark Vologdin,a
UFC Fight Night: Medić vs. Rodriguez,Dennis Buzukja,Bogdan Grad,b
UFC Fight Night: Medić vs. Rodriguez,Kyle Prepolec,Mateusz Rębecki,b
UFC Fight Night: Medić vs. Rodriguez,Hailey Cowan,Nina Milošević,b
UFC Fight Night: Medić vs. Rodriguez,Alexander Poppeck,Jovan Leka,b
UFC Fight Night: Medić vs. Rodriguez,Stephanie Luciano,Marina Spasić,b
